<number of tasks>
111
<number of stations>
12
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
1 1 1000 24 77 36 88
1 2 86 1000 1000 1000 1000
1 3 70 1000 1000 1000 1000
1 4 1000 65 24 50 31
1 5 66 1000 1000 1000 1000
1 6 1000 50 20 53 24
1 7 63 1000 1000 1000 1000
1 8 1000 49 95 83 82
1 9 71 1000 1000 1000 1000
1 10 1000 32 54 36 26
1 11 42 1000 1000 1000 1000
1 12 1000 35 97 17 100
1 13 0 1000 1000 1000 1000
1 14 1000 193 56 89 18
1 15 1000 87 48 21 152
1 16 0 1000 1000 1000 1000
1 17 1000 27 89 93 20
1 18 27 1000 1000 1000 1000
1 19 33 1000 1000 1000 1000
1 20 1000 75 134 26 31
1 21 60 1000 1000 1000 1000
1 22 1000 56 96 32 91
1 23 44 1000 1000 1000 1000
1 24 58 1000 1000 1000 1000
1 25 1000 91 29 75 98
1 26 109 1000 1000 1000 1000
1 27 1000 103 55 58 59
1 28 94 1000 1000 1000 1000
1 29 1000 138 46 196 80
1 30 39 1000 1000 1000 1000
1 31 26 1000 1000 1000 1000
1 32 1000 35 195 57 34
1 33 63 1000 1000 1000 1000
1 34 1000 90 36 91 26
1 35 29 1000 1000 1000 1000
1 36 61 1000 1000 1000 1000
1 37 1000 71 119 26 61
1 38 0 1000 1000 1000 1000
1 39 63 1000 1000 1000 1000
1 40 47 1000 1000 1000 1000
1 41 1000 27 33 27 29
1 42 74 1000 1000 1000 1000
1 43 1000 51 56 26 37
1 44 30 1000 1000 1000 1000
1 45 0 1000 1000 1000 1000
1 46 66 1000 1000 1000 1000
1 47 1000 27 81 74 72
1 48 1000 140 36 52 69
1 49 44 1000 1000 1000 1000
1 50 21 1000 1000 1000 1000
1 51 1000 24 61 31 32
1 52 1000 50 97 34 119
1 53 37 1000 1000 1000 1000
1 54 1000 51 69 72 28
1 55 149 1000 1000 1000 1000
1 56 74 1000 1000 1000 1000
1 57 1000 44 105 177 61
1 58 127 1000 1000 1000 1000
