<number of tasks>
70
<number of stations>
10
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
1 1 1000 28 140 20 64
1 2 74 1000 1000 1000 1000
1 3 1000 21 44 72 196
1 4 1000 157 90 200 76
1 5 64 1000 1000 1000 1000
1 6 139 1000 1000 1000 1000
1 7 19 1000 1000 1000 1000
1 8 1000 30 50 96 109
1 9 62 1000 1000 1000 1000
1 10 73 1000 1000 1000 1000
1 11 1000 61 30 33 80
1 12 1000 49 94 89 97
1 13 43 1000 1000 1000 1000
1 14 0 1000 1000 1000 1000
1 15 42 1000 1000 1000 1000
1 16 1000 66 63 69 23
1 17 1000 20 40 75 31
1 18 116 1000 1000 1000 1000
1 19 1000 61 31 24 61
1 20 1000 196 48 50 66
1 21 171 1000 1000 1000 1000
1 22 122 1000 1000 1000 1000
1 23 58 1000 1000 1000 1000
1 24 30 1000 1000 1000 1000
1 25 1000 150 66 31 36
1 26 98 1000 1000 1000 1000
1 27 1000 46 130 56 128
1 28 92 1000 1000 1000 1000
1 29 1000 69 52 55 76
1 30 1000 45 54 18 157
1 31 98 1000 1000 1000 1000
1 32 1000 173 28 117 51
1 33 0 1000 1000 1000 1000
1 34 1000 41 120 34 43
1 35 31 1000 1000 1000 1000
1 36 1000 35 90 36 116
1 37 1000 52 41 41 184
1 38 0 1000 1000 1000 1000
1 39 63 1000 1000 1000 1000
1 40 43 1000 1000 1000 1000
1 41 1000 22 23 53 39
1 42 65 1000 1000 1000 1000
1 43 100 1000 1000 1000 1000
1 44 45 1000 1000 1000 1000
1 45 1000 98 194 48 99
1 46 61 1000 1000 1000 1000
1 47 1000 32 118 150 41
1 48 1000 19 28 49 74
1 49 58 1000 1000 1000 1000
1 50 57 1000 1000 1000 1000
1 51 1000 90 60 98 141
1 52 0 1000 1000 1000 1000
1 53 73 1000 1000 1000 1000
1 54 1000 59 40 91 110
1 55 62 1000 1000 1000 1000
1 56 132 1000 1000 1000 1000
1 57 1000 184 57 43 78
1 58 47 1000 1000 1000 1000
1 59 1000 80 50 65 38
1 60 1000 150 39 69 47
1 61 1000 44 58 23 44
1 62 54 1000 1000 1000 1000
1 63 1000 43 172 140 182
1 64 1000 72 89 134 77
1 65 59 1000 1000 1000 1000
1 66 94 1000 1000 1000 1000
1 67 1000 29 81 55 44
1 68 1000 43 147 78 135
1 69 0 1000 1000 1000 1000
1 70 1000 24 72 52 51
2 1 1000 80 76 34 49
2 2 96 1000 1000 1000 1000
2 3 1000 83 58 24 53
2 4 1000 99 45 58 43
2 5 59 1000 1000 1000 1000
2 6 89 1000 1000 1000 1000
2 7 89 1000 1000 1000 1000
2 8 1000 63 27 26 63
2 9 53 1000 1000 1000 1000
2 10 0 1000 1000 1000 1000
2 11 1000 57 20 18 36
2 12 1000 83 166 63 88
2 13 63 1000 1000 1000 1000
2 14 72 1000 1000 1000 1000
2 15 62 1000 1000 1000 1000
2 16 1000 27 19 80 99
2 17 1000 24 31 48 57
2 18 28 1000 1000 1000 1000
2 19 1000 49 18 32 125
2 20 1000 63 43 18 39
2 21 75 1000 1000 1000 1000
2 22 0 1000 1000 1000 1000
2 23 32 1000 1000 1000 1000
2 24 47 1000 1000 1000 1000
2 25 1000 77 110 58 51
2 26 0 1000 1000 1000 1000
2 27 1000 25 62 96 22
2 28 48 1000 1000 1000 1000
2 29 1000 51 34 36 46
2 30 1000 49 94 80 56
2 31 57 1000 1000 1000 1000
2 32 1000 50 48 59 32
2 33 63 1000 1000 1000 1000
2 34 1000 43 30 29 54
2 35 185 1000 1000 1000 1000
2 36 1000 28 35 35 77
2 37 1000 85 56 58 45
2 38 58 1000 1000 1000 1000
2 39 73 1000 1000 1000 1000
2 40 73 1000 1000 1000 1000
2 41 1000 132 23 22 61
2 42 69 1000 1000 1000 1000
2 43 54 1000 1000 1000 1000
2 44 0 1000 1000 1000 1000
2 45 1000 43 43 132 82
2 46 82 1000 1000 1000 1000
2 47 1000 34 58 36 94
2 48 1000 29 67 26 131
2 49 29 1000 1000 1000 1000
2 50 174 1000 1000 1000 1000
2 51 1000 57 115 38 82
2 52 83 1000 1000 1000 1000
2 53 27 1000 1000 1000 1000
2 54 1000 31 51 64 85
2 55 92 1000 1000 1000 1000
2 56 0 1000 1000 1000 1000
2 57 1000 84 29 63 36
2 58 34 1000 1000 1000 1000
2 59 1000 34 17 21 45
2 60 1000 186 63 44 60
2 61 1000 77 35 50 34
2 62 152 1000 1000 1000 1000
2 63 1000 84 191 71 85
2 64 1000 48 28 59 34
2 65 88 1000 1000 1000 1000
2 66 110 1000 1000 1000 1000
2 67 1000 69 147 48 27
2 68 1000 77 55 47 195
2 69 98 1000 1000 1000 1000
2 70 1000 62 55 130 118
<precedence relations>
1,2
1,41
1,69
1,70
2,3
3,4
3,68
4,6
4,7
5,6
5,24
5,30
6,8
7,8
8,12
9,10
10,11
11,12
12,13
12,14
13,23
14,23
15,16
16,17
16,18
17,19
18,19
19,20
19,22
19,57
20,21
21,23
22,23
23,25
23,31
23,33
24,25
25,26
25,27
25,28
25,29
26,35
27,35
28,35
29,35
30,31
31,32
32,35
33,34
34,35
35,36
35,44
35,48
35,51
35,53
35,56
35,60
35,61
35,62
36,37
37,38
38,39
39,40
40,42
41,42
42,43
43,50
44,45
45,46
46,47
47,50
48,49
49,50
51,52
52,54
53,54
54,55
57,58
58,59
59,60
61,65
62,63
63,64
64,65
64,66
64,67
<end>
