<number of tasks>
89
<number of stations>
10
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
1 1 80 1000 1000 1000 1000
1 2 1000 57 83 29 55
1 3 1000 87 58 80 93
1 4 26 1000 1000 1000 1000
1 5 1000 88 71 92 195
1 6 1000 52 80 29 173
1 7 51 1000 1000 1000 1000
1 8 1000 96 27 30 193
1 9 0 1000 1000 1000 1000
1 10 68 1000 1000 1000 1000
1 11 86 1000 1000 1000 1000
1 12 1000 26 43 46 53
1 13 1000 17 68 164 133
1 14 164 1000 1000 1000 1000
1 15 1000 100 45 52 91
1 16 107 1000 1000 1000 1000
1 17 1000 26 147 85 70
1 18 0 1000 1000 1000 1000
1 19 59 1000 1000 1000 1000
1 20 1000 88 75 19 80
1 21 59 1000 1000 1000 1000
1 22 1000 25 58 57 73
1 23 66 1000 1000 1000 1000
1 24 0 1000 1000 1000 1000
1 25 1000 39 122 104 133
1 26 93 1000 1000 1000 1000
1 27 1000 97 54 21 64
1 28 103 1000 1000 1000 1000
1 29 1000 30 45 48 32
1 30 27 1000 1000 1000 1000
1 31 76 1000 1000 1000 1000
1 32 1000 83 55 50 28
1 33 189 1000 1000 1000 1000
1 34 1000 71 160 85 55
1 35 54 1000 1000 1000 1000
1 36 1000 28 25 59 91
1 37 1000 98 71 33 21
1 38 0 1000 1000 1000 1000
1 39 41 1000 1000 1000 1000
1 40 87 1000 1000 1000 1000
1 41 1000 34 168 35 99
1 42 38 1000 1000 1000 1000
1 43 95 1000 1000 1000 1000
1 44 199 1000 1000 1000 1000
1 45 1000 58 26 50 118
1 46 184 1000 1000 1000 1000
1 47 1000 196 29 28 41
1 48 1000 30 56 99 29
1 49 34 1000 1000 1000 1000
1 50 22 1000 1000 1000 1000
1 51 1000 63 30 98 55
1 52 1000 66 47 36 66
1 53 58 1000 1000 1000 1000
1 54 1000 80 31 159 63
1 55 126 1000 1000 1000 1000
1 56 25 1000 1000 1000 1000
1 57 1000 137 113 136 61
1 58 33 1000 1000 1000 1000
1 59 67 1000 1000 1000 1000
1 60 44 1000 1000 1000 1000
1 61 1000 89 81 124 190
1 62 78 1000 1000 1000 1000
1 63 1000 41 24 176 52
1 64 1000 36 128 96 86
1 65 34 1000 1000 1000 1000
1 66 90 1000 1000 1000 1000
1 67 1000 63 21 38 20
1 68 1000 61 38 74 35
1 69 160 1000 1000 1000 1000
1 70 0 1000 1000 1000 1000
1 71 1000 34 46 22 51
1 72 80 1000 1000 1000 1000
1 73 1000 104 26 126 115
1 74 54 1000 1000 1000 1000
1 75 1000 39 39 62 194
1 76 0 1000 1000 1000 1000
1 77 1000 65 89 55 25
1 78 1000 88 26 55 94
1 79 73 1000 1000 1000 1000
1 80 64 1000 1000 1000 1000
1 81 1000 42 27 53 88
1 82 21 1000 1000 1000 1000
1 83 1000 48 54 38 98
1 84 26 1000 1000 1000 1000
1 85 52 1000 1000 1000 1000
1 86 1000 58 22 139 54
1 87 65 1000 1000 1000 1000
1 88 1000 99 166 63 126
1 89 48 1000 1000 1000 1000
2 1 51 1000 1000 1000 1000
2 2 1000 26 95 69 123
2 3 1000 143 100 88 124
2 4 29 1000 1000 1000 1000
2 5 1000 162 75 57 31
2 6 1000 30 147 27 24
2 7 73 1000 1000 1000 1000
2 8 1000 26 127 57 81
2 9 77 1000 1000 1000 1000
2 10 79 1000 1000 1000 1000
2 11 54 1000 1000 1000 1000
2 12 1000 128 22 30 36
2 13 1000 50 65 72 39
2 14 42 1000 1000 1000 1000
2 15 1000 22 41 64 32
2 16 23 1000 1000 1000 1000
2 17 1000 42 35 45 79
2 18 28 1000 1000 1000 1000
2 19 0 1000 1000 1000 1000
2 20 1000 62 31 98 55
2 21 32 1000 1000 1000 1000
2 22 1000 189 19 28 87
2 23 94 1000 1000 1000 1000
2 24 88 1000 1000 1000 1000
2 25 1000 189 75 43 84
2 26 91 1000 1000 1000 1000
2 27 1000 28 34 64 36
2 28 20 1000 1000 1000 1000
2 29 1000 37 57 53 27
2 30 54 1000 1000 1000 1000
2 31 0 1000 1000 1000 1000
2 32 1000 19 147 38 26
2 33 52 1000 1000 1000 1000
2 34 1000 74 79 55 42
2 35 30 1000 1000 1000 1000
2 36 1000 175 135 37 64
2 37 1000 59 61 31 54
2 38 65 1000 1000 1000 1000
2 39 162 1000 1000 1000 1000
